budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,Component1,Component2,Component3,Component4,Component5,cluster,Segment
0.0,Path� Pictures International,UK,Danny Boyle,Comedy,6583149.0,Millions,PG-13,2005-04-29,98,6.9,Alex Etel,22743,Frank Cottrell Boyce,2004,-0.7965583480137077,0.14247820580781015,0,first
6000000.0,Bob Yari Productions,USA,David Duchovny,Comedy,371081.0,House of D,PG-13,2005-04-29,96,7.0,David Duchovny,7919,David Duchovny,2004,-0.7574365725655932,-0.047609153435933735,0,first
0.0,Mid Day Multimedia Limited,India,Anurag Kashyap,Crime,34000.0,Black Friday,NOT RATED,2007-02-09,143,8.6,Kay Kay Menon,13141,Anurag Kashyap,2004,-0.8761370086263702,0.0628995451951476,0,first
35000000.0,Revolution Studios,USA,Nick Hurran,Comedy,20422207.0,Little Black Book,PG-13,2004-08-06,111,5.3,Brittany Murphy,15844,Melissa Carter,2004,0.040126585293443935,-0.35789014658754537,3,fourth
0.0,Fox Searchlight Pictures,USA,Woody Allen,Comedy,3825351.0,Melinda and Melinda,PG-13,2005-04-08,99,6.5,Will Ferrell,28468,Woody Allen,2004,-0.8300683309260342,0.1089682228954837,0,first
0.0,True West Films,UK,Michael Dowse,Biography,120620.0,It's All Gone Pete Tong,R,2005-05-27,90,7.4,Paul Kaye,17570,Michael Dowse,2004,-0.8750844896529482,0.06395206416856976,0,first
11000000.0,Les Films Alain Sarde,UK,Mike Leigh,Crime,3753806.0,Vera Drake,R,2005-02-04,125,7.7,Imelda Staunton,21213,Mike Leigh,2004,-0.6208293002194472,-0.10200949333300303,0,first
0.0,UK Film Council,UK,Charles Dance,Drama,6759422.0,Ladies in Lavender,PG-13,2005-05-27,104,7.1,Judi Dench,8937,William J. Locke,2004,-0.7944164561065034,0.14462009771501455,0,first
0.0,United Artists,USA,David Gordon Green,Drama,24947.0,Undertow,R,2004-12-17,108,6.7,Jamie Bell,7587,Lingard Jervey,2004,-0.8762470115617939,0.06278954225972398,0,first
0.0,Sonet Film AB,Sweden,Kay Pollak,Comedy,9910.0,As It Is in Heaven,,2004-09-03,133,7.6,Michael Nyqvist,14388,Anders Nyberg,2004,-0.8764297260365498,0.06260682778496819,0,first
6500000.0,Eulogy Productions LLC,USA,Michael Clancy,Comedy,70527.0,Eulogy,R,2004-09-26,91,6.7,Ray Romano,7932,Michael Clancy,2004,-0.7515382213639371,-0.0608115634585993,0,first
26000000.0,Twentieth Century Fox Film Corporation,USA,Donald Petrie,Comedy,14469428.0,Welcome to Mooseport,PG-13,2004-02-20,110,5.2,Gene Hackman,11058,Doug Richardson,2004,-0.20411243891973582,-0.2583154687629376,0,first
0.0,Ashutosh Gowariker Productions Pvt. Ltd.,India,Ashutosh Gowariker,Drama,1223240.0,Swades,NOT RATED,2004-12-17,195,8.3,Shah Rukh Khan,66309,M.G. Sathya,2004,-0.8616865622634913,0.07734999155802659,0,first
0.0,Destination Films,USA,Alice Wu,Comedy,1186323.0,Saving Face,R,2005-06-24,91,7.5,Joan Chen,8312,Alice Wu,2004,-0.8621351404549231,0.07690141336659477,0,first
27000000.0,Paramount Pictures,UK,E. Elias Merhige,Crime,8725813.0,Suspect Zero,R,2004-08-27,100,5.9,Aaron Eckhart,17171,Zak Penn,2004,-0.25480230068701176,-0.34720685297885656,0,first
50000.0,Ariztical Entertainment,USA,Q. Allan Brocka,Comedy,155212.0,Eating Out,UNRATED,2012-02-24,90,5.9,Scott Lunsford,5354,Q. Allan Brocka,2004,-0.8737091244579451,0.06341735324114064,0,first
0.0,Path� Pictures International,UK,Shona Auerbach,Drama,1340891.0,Dear Frankie,PG-13,2005-04-15,105,7.8,Emily Mortimer,19530,Andrea Gibb,2004,-0.860256985840701,0.07877956798081691,0,first
