budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Component1,Component2,Component3,Component4,Component5,cluster,Segment
4700000.0,Cannon Films,USA,Tobe Hooper,Comedy,8025872.0,The Texas Chainsaw Massacre 2,UNRATED,1986-08-22,89,5.6,Dennis Hopper,21253,L.M. Kit Carson,1986,-1.2558151575893381,-0.6515923598983637,-0.34596053564431645,0.22206932425536005,-0.025962330527986313,3,fourth
15000000.0,Jay Weston Productions,USA,Clint Eastwood,Action,42724017.0,Heartbreak Ridge,R,1986-12-05,130,6.8,Clint Eastwood,32954,James Carabatsos,1986,0.3751119963163152,0.9871186165487029,0.8242294344461563,0.002432087864801417,0.5051829155569602,0,first
25000000.0,Paramount Pictures,USA,Leonard Nimoy,Adventure,109713132.0,Star Trek IV: The Voyage Home,PG,1986-11-26,119,7.3,William Shatner,66366,Gene Roddenberry,1986,1.1879218013356103,0.5340922478838862,-0.021049096732113987,-0.401297934904251,1.0892061544401586,0,first
0.0,TriStar Pictures,USA,John Badham,Comedy,40697761.0,Short Circuit,PG,1986-05-09,98,6.6,Ally Sheedy,47068,S.S. Wilson,1986,-0.4513272645783244,0.14804600314350586,-0.5820649680414788,0.007820897537262554,0.4487298163733711,1,second
0.0,Neue Constantin Film,Italy,Jean-Jacques Annaud,Crime,7153487.0,The Name of the Rose,R,1986-09-24,130,7.8,Sean Connery,86991,Umberto Eco,1986,0.3655414268871916,2.047622221497323,0.19174693004433113,0.028123796972540093,0.08366631153281119,0,first
0.0,TriStar Pictures,USA,Sidney J. Furie,Action,24159872.0,Iron Eagle,PG-13,1986-01-17,117,5.3,Louis Gossett Jr.,11304,Kevin Alyn Elders,1986,-0.7635739540201114,-0.1304998350463571,0.930962851714726,0.7021370984373739,0.44938780118129573,3,fourth
25000000.0,Paramount Pictures,USA,Michael Ritchie,Action,79817937.0,The Golden Child,PG-13,1986-12-12,94,5.9,Eddie Murphy,42997,Dennis Feldman,1986,-0.06480837603232377,-0.9443216128692065,-0.329819304382666,-0.10347183464494508,0.6115162181602414,3,fourth
1900000.0,Hemdale,USA,Tim Hunter,Crime,4600000.0,River's Edge,R,1987-05-08,99,7.1,Crispin Glover,12862,Neal Jimenez,1986,-0.729463842606855,0.7050521668585332,-0.5762691805469037,-0.3949577534409112,0.05151315168583117,1,second
25000000.0,L.A. Films,USA,John Landis,Comedy,39246734.0,�Three Amigos!,PG,1986-12-12,104,6.4,Steve Martin,57406,Steve Martin,1986,-0.0395389466574824,-0.09119123676753425,-0.0878838508214324,-0.12315888549088498,0.09474323118491788,1,second
25000000.0,Warner Bros.,USA,George P. Cosmatos,Action,49042224.0,Cobra,R,1986-05-23,87,5.7,Sylvester Stallone,54851,Paula Gosling,1986,-0.4891963755773968,-1.0962301779952797,-0.5085145245450039,-0.002070484241510766,0.12873295725823233,3,fourth
0.0,Gaumont,France,Jean-Jacques Beineix,Drama,2003822.0,Betty Blue,,1986-11-07,120,7.4,Jean-Hugues Anglade,14562,Philippe Djian,1986,-0.2827665399020992,1.524219873355869,0.16439500936682017,-0.25634447442299035,0.1652292497024923,1,second
24500000.0,Warner Bros.,UK,Roland Joff�,Adventure,17218023.0,The Mission,PG,1986-10-31,125,7.5,Robert De Niro,47497,Robert Bolt,1986,0.43447189768860267,1.3743203228844192,0.38161009390873746,-0.4387454641046116,-0.033625484715805135,0,first
13800000.0,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982.0,The Color of Money,R,1986-10-17,119,7.0,Paul Newman,62495,Walter Tevis,1986,0.41486993248266046,0.7819044048646369,0.158778361248824,-0.06700607487405595,0.4956394986067821,0,first
0.0,Columbia Pictures Corporation,USA,John G. Avildsen,Action,115103979.0,The Karate Kid Part II,PG,1986-06-20,113,5.9,Pat Morita,58370,Robert Mark Kamen,1986,0.355034049467149,-0.34980667426115725,0.1777087027772321,0.5223133027659166,1.488766328583822,1,second
