budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Component1,Component2,Component3,Component4,Component5,cluster,Segment
60000000.0,Don Simpson/Jerry Bruckheimer Films,USA,Tony Scott,Action,82670733.0,Days of Thunder,PG-13,1990-06-27,107,5.9,Tom Cruise,65262,Robert Towne,1990,0.7572762956264586,-0.9881070910913593,0.40018658136784646,-0.33441743400999346,0.18556881979083945,4,
11000000.0,Universal Pictures,USA,John Waters,Comedy,8266343.0,Cry-Baby,PG-13,1990-04-06,85,6.5,Johnny Depp,47001,John Waters,1990,-0.8807226730583846,-0.21202611961033332,-0.9419851175708627,-0.2251022403324511,-0.20780847142677364,1,second
40000000.0,Universal Pictures,USA,Robert Zemeckis,Adventure,87727583.0,Back to the Future Part III,PG,1990-05-25,118,7.4,Michael J. Fox,316774,Robert Zemeckis,1990,2.2096419837773777,0.5482367638262633,-0.672845630612341,0.6124435449019858,-0.13748822100146288,4,
42000000.0,United Artists,USA,John G. Avildsen,Drama,40946358.0,Rocky V,PG-13,1990-11-16,104,5.2,Sylvester Stallone,102375,Sylvester Stallone,1990,0.030781932856221873,-1.1115751976011168,0.4323596627900851,0.4508720520704282,-0.24491361153377453,3,fourth
26000000.0,Imagine Entertainment,USA,Ivan Reitman,Comedy,91457688.0,Kindergarten Cop,PG-13,1990-12-21,111,6.1,Arnold Schwarzenegger,115309,Murray Salem,1990,0.7305613958050456,-0.41463183497072614,0.07586298016961186,0.34144973662899486,0.6446818533034762,4,
35000000.0,Davis Entertainment,USA,Stephen Hopkins,Action,30669413.0,Predator 2,R,1990-11-21,108,6.2,Danny Glover,117081,Jim Thomas,1990,0.2731628707099093,-0.1768741562176448,0.08750120504962904,0.19015378532823046,-0.30364617252058834,1,second
36000000.0,Warner Bros.,USA,George Miller,Adventure,17373527.0,The NeverEnding Story II: The Next Chapter,PG,1991-02-08,90,5.1,Jonathan Brandis,19726,Karin Howard,1990,-0.89426335358433,-1.3666883899677003,0.12706442727077313,0.020795645764141422,-0.31922287209996775,3,fourth
35000000.0,Orion Pictures,USA,Irvin Kershner,Action,45681173.0,RoboCop 2,R,1990-06-22,117,5.8,Peter Weller,68761,Edward Neumeier,1990,0.26912577601821935,-0.29349767417334854,0.7523830784837909,0.23507735529976237,0.08903885939155166,3,fourth
14000000.0,Circle Films,USA,Joel Coen,Crime,5080409.0,Miller's Crossing,R,1990-10-05,115,7.8,Gabriel Byrne,110371,Joel Coen,1990,0.3382314876532832,1.4944120280030737,-0.40399791999522955,-0.22676646672606574,-0.2932788766868372,0,first
0.0,Nicolas Entertainment,USA,Jeff Burr,Horror,5765562.0,Leatherface: Texas Chainsaw Massacre III,R,1990-01-12,81,5.2,Kate Hodge,10775,Kim Henkel,1990,-1.6497109632886073,-1.0821611774888602,-0.5058701763291529,0.3389252442334852,-0.009575987594251743,3,fourth
40000000.0,Twentieth Century Fox Film Corporation,USA,Renny Harlin,Action,21413502.0,The Adventures of Ford Fairlane,R,1990-07-11,104,6.3,Andrew Dice Clay,15191,Daniel Waters,1990,-0.20642340913452678,-0.22426610429591004,0.2208536294088595,-0.48489517670259913,-0.22294561478018507,1,second
0.0,Gaumont,France,Luc Besson,Action,5017971.0,La Femme Nikita,R,1991-04,117,7.4,Anne Parillaud,58619,Luc Besson,1990,-0.13380344757897059,1.4264225870733591,-0.09457171452279939,-0.07122050070397372,0.059165174429019356,1,second
16000000.0,Renaissance Pictures,USA,Sam Raimi,Action,33878502.0,Darkman,R,1990-08-24,96,6.4,Liam Neeson,50571,Sam Raimi,1990,-0.38657761120561557,-0.18119319613047571,-0.45964678583403823,-0.12046587751298543,0.1181549524944246,1,second
22000000.0,Warner Bros.,USA,Alan J. Pakula,Mystery,86303188.0,Presumed Innocent,R,1990-07-27,127,6.9,Harrison Ford,31512,Scott Turow,1990,0.8299510461569773,0.6451274129491642,0.6193652890972837,-0.22510037122469734,0.9707340201289256,0,first
50000000.0,Warner Bros.,USA,Joe Dante,Comedy,41482207.0,Gremlins 2: The New Batch,PG-13,1990-06-15,106,6.3,Zach Galligan,75271,Chris Columbus,1990,0.3892019945675047,-0.39243363124505537,0.1641715381856882,-0.3153787114912981,-0.256631995546721,1,second
11000000.0,Morgan Creek Productions,USA,Clive Barker,Action,8862354.0,Nightbreed,R,1990-02-16,102,6.5,Craig Sheffer,15692,Clive Barker,1990,-0.6778294302480394,0.25010264434537416,-0.1358041821761531,-0.1834118584753014,-0.006357963132359118,1,second
31000000.0,Orion Pictures,USA,Richard Benjamin,Comedy,35419397.0,Mermaids,PG-13,1990-12-14,110,6.6,Cher,23765,Patty Dann,1990,0.04036872010990166,0.16566091750320444,0.22407411446553577,-0.4022595320558297,0.09609706570926584,1,second
4200000.0,21st Century Film Corporation,USA,Tom Savini,Horror,5835247.0,Night of the Living Dead,R,1990-10-19,92,6.9,Tony Todd,33142,John A. Russo,1990,-0.7977786689609727,0.3436660506927645,-0.8274588352546646,-0.3104659765816726,-0.0646565477141081,1,second
3500000.0,Paramount Pictures,USA,John Harrison,Comedy,16324573.0,Tales from the Darkside: The Movie,R,1990-05-04,93,6.2,Debbie Harry,12090,Michael McDowell,1990,-0.981734895242633,-0.16405272614079122,-0.44160632289169827,-0.06118856187062016,0.15054502839136386,1,second
0.0,Cinehaus,UK,Phil Joanou,Action,1911542.0,State of Grace,R,1990-09-14,134,7.3,Sean Penn,17766,Dennis McIntyre,1990,-0.0325413628799447,1.8406809570949874,0.7906752767432649,-0.02572259185818416,0.23944178080959258,0,first
3000000.0,Imperial Entertainment Corporation,USA,Sheldon Lettich,Action,24078196.0,Lionheart,R,1991-01-11,108,6.1,Jean-Claude Van Damme,27025,S.N. Warren,1990,-0.5998402638545182,0.14068448470373401,0.1738130714555828,0.24108021411498617,0.3071683623312576,1,second
0.0,New World Pictures,USA,Tony Scott,Action,15650000.0,Revenge,R,1990-02-16,124,6.2,Kevin Costner,13517,Jim Harrison,1990,-0.4361441974623857,0.7299876563038434,0.8393408944038834,0.3621364249474189,0.37281318737800134,1,second
0.0,TriStar Pictures,USA,Amy Heckerling,Comedy,47489074.0,Look Who's Talking Too,PG-13,1990-12-14,81,4.5,John Travolta,38981,Amy Heckerling,1990,-1.3590181995654744,-1.8028887209978763,-0.3615895454519653,0.7895260610453332,0.459432975060778,3,fourth
10000000.0,Warner Bros.,USA,Bruce Malmuth,Action,47410000.0,Hard to Kill,R,1990-02-09,96,5.7,Steven Seagal,23411,Steven McKay,1990,-0.6559647440480566,-0.675826029315081,-0.14264473686333895,0.1584262769431267,0.4574938363726826,3,fourth
0.0,Fugitive TV Productions,UK,Peter Medak,Biography,2060847.0,The Krays,R,1990-11-09,115,6.7,Gary Kemp,6422,Philip Ridley,1990,-0.6148109345698975,0.9046965810583458,0.286097579895197,-0.013607489577710906,0.15948846274062076,1,second
0.0,Morgan Creek Productions,USA,William Peter Blatty,Drama,26098824.0,The Exorcist III,R,1990-08-17,110,6.3,George C. Scott,19380,William Peter Blatty,1990,-0.5551712040630322,0.3542345304868034,0.16611079872352386,0.16867245949624463,0.4089898990492499,1,second
0.0,Orion Pictures,USA,Dennis Hopper,Crime,1293976.0,The Hot Spot,R,1990-10-26,130,6.4,Don Johnson,8618,Charles Williams,1990,-0.4140522690370865,1.1149037693294546,1.0473026919642223,0.3223013084005677,0.23381619267572912,0,first
0.0,Universal Pictures,USA,Philip Kaufman,Biography,11567449.0,Henry & June,NC-17,1990-10-05,136,6.3,Fred Ward,10779,Ana�s Nin,1990,-0.22626297522235317,1.1518110611078602,1.3178363981684635,0.4444136091819701,0.3994452813023186,0,first
10500000.0,Paramount Pictures,USA,Ralph S. Singleton,Horror,11582891.0,Graveyard Shift,R,1990-10-26,89,4.8,David Andrews,7613,Stephen King,1990,-1.4361556836240628,-1.2868501178809555,0.08127426589814304,0.46005027425857864,-0.018467359834679876,3,fourth
0.0,Reteitalia,Italy,Abel Ferrara,Crime,2554476.0,El verdugo de Nueva York,R,1990-09-28,103,7.0,Christopher Walken,25511,Nicholas St. John,1990,-0.674440587246947,0.7794310495807196,-0.4088764382288232,-0.20607780656194657,0.038012828004583776,1,second
30000000.0,Silver Screen Partners IV,USA,Hendel Butoy,Animation,27931461.0,The Rescuers Down Under,G,1990-11-16,100,6.9,Bob Newhart,30141,Jim Cox,1990,-0.11850063973844366,0.15178341074337334,-0.3410445578192205,-0.6146054549611409,-0.06811174787327608,1,second
20000000.0,Morgan Creek Productions,USA,Geoff Murphy,Action,44143410.0,Young Guns II,PG-13,1990-08-01,104,6.5,Emilio Estevez,25680,John Fusco,1990,-0.15983421239630632,0.002998473172228555,-0.08696285503267558,-0.2662761231356329,0.31953402456781715,1,second
2500000.0,"Hudlin Brothers, The",USA,Reginald Hudlin,Comedy,26386000.0,House Party,R,1990-03-09,100,6.3,Christopher Reid,9303,Reginald Hudlin,1990,-0.7516260533535751,0.04990203692312435,-0.20986857560012384,-0.036020823343274264,0.34736876108603487,1,second
0.0,Canal+,USA,Franco Zeffirelli,Drama,20710451.0,Hamlet,PG,1991-01-18,135,6.8,Mel Gibson,18778,William Shakespeare,1990,0.016238494874497595,1.415913032814776,1.0130527927879287,0.22034912908409288,0.49075038753338335,0,first
0.0,New Line Cinema,Canada,Allan Moyle,Comedy,11541758.0,Pump Up the Volume,R,1990-08-22,102,7.2,Christian Slater,22643,Allan Moyle,1990,-0.5649202789074159,0.8375915243683579,-0.5495339447370987,-0.33801981598569236,0.15882845498557982,1,second
5200000.0,Lightning Pictures,USA,Mark L. Lester,Action,2459895.0,Class of 1999,R,1990-05-11,99,5.8,Bradley Gregg,5119,Mark L. Lester,1990,-1.1162876421325514,-0.21348278467040546,0.04883501279623062,0.15807487438570658,0.0009732843447914404,3,fourth
12000000.0,Victor & Grais,USA,Dwight H. Little,Action,46044400.0,Marked for Death,R,1990-10-05,93,5.9,Steven Seagal,16347,Michael Grais,1990,-0.6698725108106678,-0.6351386869984557,-0.32042081903393926,-0.03790045099774325,0.4144542700087644,3,fourth
35000000.0,Carolco Pictures,USA,Roger Spottiswoode,Action,31053601.0,Air America,R,1990-08-10,113,5.7,Mel Gibson,23326,Christopher Robbins,1990,-0.15406709207470082,-0.38988366049147904,0.7875228651977428,0.019143656264996433,0.00351881601899078,3,fourth
10000000.0,Warner Bros.,USA,Clint Eastwood,Action,21633874.0,The Rookie,R,1990-12-07,120,5.8,Clint Eastwood,21622,Boaz Yakin,1990,-0.41094498078674147,0.2007230547073963,0.8836795442728896,0.4055461451943717,0.2676943293954214,1,second
0.0,Paramount Pictures,USA,Mike Figgis,Crime,27734391.0,Internal Affairs,R,1990-01-12,115,6.5,Richard Gere,14195,Henry Bean,1990,-0.4075457939855655,0.6194846029718863,0.3002856747482742,0.10206133696520547,0.47580248119090596,1,second
0.0,Brandenberg,UK,Tom Stoppard,Comedy,739104.0,Rosencrantz & Guildenstern Are Dead,PG,1991-02-08,117,7.6,Gary Oldman,18087,Tom Stoppard,1990,-0.2789419549088827,1.586828121987838,-0.05824746673326149,-0.370862372636559,0.12012818908294393,1,second
0.0,Orion Pictures,USA,Lewis Teague,Action,25069101.0,Navy Seals,R,1990-07-20,113,5.5,Charlie Sheen,13756,Chuck Pfarrer,1990,-0.7633722410629906,-0.10794085807153805,0.6647736532193751,0.5685397500476861,0.4300352146938067,3,fourth
20000000.0,Path� Entertainment,Australia,Simon Wincer,Action,21413105.0,Quigley Down Under,PG-13,1990-10-19,119,6.8,Tom Selleck,16185,John Hill,1990,-0.031785665057609595,0.7519866662792485,0.4868568061891504,-0.2650384966803267,0.13777057162592785,1,second
18000000.0,Morgan Creek Productions,USA,John Schlesinger,Thriller,29381956.0,Pacific Heights,R,1990-09-28,102,6.4,Melanie Griffith,15129,Daniel Pyne,1990,-0.43069023126127914,-0.014080258814910495,-0.0813765117916521,-0.2535610340157456,0.17053888892533237,1,second
47000000.0,Warner Bros.,USA,Brian De Palma,Comedy,15691192.0,The Bonfire of the Vanities,R,1990-12-21,125,5.5,Tom Hanks,18886,Michael Cristofer,1990,0.015502261187625417,-0.24161504947018755,1.512387468653988,0.07971738359496654,-0.27748447617832395,3,fourth
25000000.0,Ironbark Films,USA,John Cornell,Comedy,6939946.0,Almost an Angel,PG,1990-12-19,95,5.4,Paul Hogan,3294,Paul Hogan,1990,-1.0169553334475954,-0.8424499189879909,0.1948725454472873,0.01393264105360778,-0.22896805937209855,3,fourth
12000000.0,Warner Bros.,Japan,Akira Kurosawa,Drama,1963207.0,Dreams,PG,1990-08-24,119,7.8,Akira Terao,19625,Akira Kurosawa,1990,-0.008159275359059262,1.640193910201808,0.01681644010659496,-0.60814622390233,-0.019908124586962225,0,first
1500000.0,Palace Pictures,UK,Richard Stanley,Sci-Fi,5728953.0,Hardware,R,1990-09-14,94,5.9,Dylan McDermott,10546,Steve MacManus,1990,-1.1791237207817802,-0.25989856729939703,-0.25515354955174124,0.1270514580719919,0.048613297424368415,3,fourth
0.0,Disney Television Animation,France,Bob Hathcock,Animation,18115724.0,DuckTales the Movie: Treasure of the Lost Lamp,G,1990-08-03,74,6.9,Alan Young,21633,Alan Burnett,1990,-1.1310099016387374,-0.17583510345733858,-1.6093652829397116,-0.532298745744137,0.07919065641293851,1,second
0.0,Universal Pictures,USA,Luis Mandoki,Drama,17487531.0,White Palace,R,1990-10-26,103,6.5,Susan Sarandon,6227,Glenn Savan,1990,-0.7623347522661762,0.3485642531176914,-0.16274502063510438,-0.07132102116180206,0.29108111040381196,1,second
23000000.0,Enigma Productions,UK,Michael Caton-Jones,Action,27441977.0,Memphis Belle,PG-13,1990-10-12,107,6.9,Matthew Modine,23909,Monte Merrick,1990,-0.10615660801340969,0.4236966916363414,-0.07682559759469663,-0.4641359280535461,0.08137917516172385,1,second
7000000.0,Vision PDG,USA,Craig R. Baxley,Action,4348368.0,Dark Angel,R,1990-09-28,91,6.0,Dolph Lundgren,8214,Jonathan Tydor,1990,-1.1573659817221698,-0.3262390191829536,-0.37715440667229827,-0.04577265930543963,-0.0560863699676978,3,fourth
0.0,Tristes Tropiques,USA,George Armitage,Comedy,9888167.0,Miami Blues,R,1990-04-20,97,6.4,Fred Ward,6524,Charles Willeford,1990,-0.9740885996352051,0.15878642899363862,-0.35728271074502055,-0.08523437352993601,0.15366264975716404,1,second
20000000.0,Universal Pictures,USA,John Badham,Action,70980000.0,Bird on a Wire,PG-13,1990-05-18,110,5.9,Mel Gibson,33453,Louis Venosta,1990,0.055928850150991284,-0.39923572109630256,0.3550815865643121,0.11528356299783926,0.6875857025550934,3,fourth
0.0,Erre Produzioni,USA,Paul Schrader,Drama,1244381.0,The Comfort of Strangers,R,1991-04,107,6.4,Christopher Walken,3405,Ian McEwan,1990,-0.8746662027233966,0.483164616132819,0.09133408581458811,0.024359964549719195,0.10913157154426452,1,second
18000000.0,Dino De Laurentiis Company,USA,Michael Cimino,Action,2742912.0,Desperate Hours,R,1990-10-05,105,5.4,Mickey Rourke,5702,Joseph Hayes,1990,-0.9460931745728269,-0.4663676110932595,0.5685022604099368,0.24671217910898083,-0.13529604858915334,3,fourth
38000000.0,Paramount Pictures,USA,Walter Hill,Action,80818974.0,Another 48 Hrs.,R,1990-06-08,93,5.8,Eddie Murphy,32058,Roger Spottiswoode,1990,0.021659230517589795,-1.190001705451169,-0.20536931945681394,-0.30628992884857864,0.4729706616252398,3,fourth
0.0,Epic Productions,USA,Emilio Estevez,Action,16247964.0,Men at Work,PG-13,1990-08-24,98,5.9,Charlie Sheen,19392,Emilio Estevez,1990,-0.9906030302238694,-0.19374160297487436,-0.1436752423094936,0.23139024914387593,0.2064582759202091,3,fourth
0.0,Touchstone Pictures,USA,Emile Ardolino,Comedy,71609321.0,3 Men and a Little Lady,PG,1990-11-21,104,5.3,Tom Selleck,18817,Coline Serreau,1990,-0.5486742141088361,-0.7607838648363968,0.26451070053791365,0.5465616811731582,0.9751271182031315,3,fourth
22000000.0,Columbia Pictures Corporation,USA,Mike Nichols,Comedy,37963281.0,Postcards from the Edge,R,1990-09-14,101,6.7,Meryl Streep,12832,Carrie Fisher,1990,-0.24109866909195005,0.07117867936622373,-0.238418443480993,-0.4878216253943236,0.22972425275592856,1,second
15000000.0,Devoted Productions,USA,Howard Franklin,Comedy,15260154.0,Quick Change,R,1990-07-13,89,6.8,Bill Murray,16870,Jay Cronley,1990,-0.7230939194342987,0.018475530443223986,-0.8049885595918528,-0.5399265351828029,-0.05865305426683178,1,second
0.0,Hawn / Sylbert Movie Company,USA,Herbert Ross,Comedy,23591472.0,My Blue Heaven,PG-13,1990-08-17,97,6.2,Steve Martin,16370,Nora Ephron,1990,-0.8675350460354896,-0.05732932687132245,-0.32478907711790495,0.05105167297752563,0.30600532818013915,1,second
0.0,TriStar Pictures,USA,Andrew Bergman,Comedy,21460601.0,The Freshman,PG,1990-07-27,102,6.5,Marlon Brando,16570,Andrew Bergman,1990,-0.7032395861090087,0.29865830463575704,-0.2426388679444838,-0.034113002264662934,0.30748419667337096,1,second
0.0,Cineplex-Odeon Films,USA,Stephen Frears,Crime,13446769.0,The Grifters,R,1991-01-25,110,7.0,Anjelica Huston,22008,Jim Thompson,1990,-0.45574525161882884,0.9087681974652264,-0.12537969913891167,-0.15036846605730333,0.23425051614662798,1,second
19000000.0,88 Productions,USA,Jack Nicholson,Crime,10005969.0,The Two Jakes,R,1990-08-10,137,6.1,Jack Nicholson,9111,Robert Towne,1990,-0.038076655297844895,0.8413996995890751,1.5925633701105915,0.27851091131949685,0.13044325806425214,0,first
4000000.0,Cannon Films,Canada,Deran Sarafian,Action,16853487.0,Death Warrant,R,1990-09-14,89,5.6,Jean-Claude Van Damme,13783,David S. Goyer,1990,-1.2148009853739559,-0.6951071766642287,-0.34745519146350684,0.18667524579268935,0.12173428372075694,3,fourth
0.0,Cam�ra One,France,Jean-Paul Rappeneau,Biography,15140007.0,Cyrano de Bergerac,PG,1990-12-01,137,7.6,G�rard Depardieu,19222,Edmond Rostand,1990,0.23869260727007344,2.053247549839048,0.7536842550575678,-0.14112841928359995,0.42786805462478256,0,first
0.0,Sovereign Pictures,USA,Barbet Schroeder,Biography,15445131.0,Reversal of Fortune,R,1990-11-09,111,7.3,Jeremy Irons,12127,Alan M. Dershowitz,1990,-0.3710576944033176,1.13062192719005,-0.19158379879716642,-0.3373046787199794,0.2952399120454102,1,second
0.0,Chestnut Hill Productions,USA,Lawrence Kasdan,Comedy,16186793.0,I Love You to Death,R,1990-04-06,97,6.4,Kevin Kline,11639,John Kostmayer,1990,-0.8959169673795169,0.12270829628508936,-0.3846925589657617,-0.06465798245863755,0.2219564515107278,1,second
2500000.0,Levins-Henenlotter,USA,Frank Henenlotter,Comedy,205068.0,Frankenhooker,R,1990-06-01,85,6.1,James Lorinz,6877,Robert Martin,1990,-1.3447640004955224,-0.3488898551584095,-0.6947022183182148,-0.10527982866796134,-0.08178851611725005,3,fourth
0.0,Concorde Pictures,USA,Mark Griffiths,Action,1494969.0,A Cry in the Wild,PG,1990-06-01,82,5.4,Jared Rushton,786,Gary Paulsen,1990,-1.651767476011502,-0.8929578863718141,-0.5148412821199345,0.20574849538249254,-0.03097757707121421,3,fourth
0.0,Granada Television,Ireland,Jim Sheridan,Drama,1414017.0,The Field,PG-13,1991-03,107,7.4,Richard Harris,4645,Jim Sheridan,1990,-0.5765155491349307,1.1700741724950094,-0.3548289245640815,-0.4595685870847327,0.10754478159025901,1,second
20000000.0,Laurence Mark Productions,USA,James Orr,Comedy,15379253.0,Mr. Destiny,PG-13,1990-10-12,110,6.3,Jim Belushi,10006,James Orr,1990,-0.4294342568907777,0.19535255131121324,0.3579544675538534,-0.15246713036840384,0.02172461973847644,1,second
0.0,Path� Entertainment,USA,Fred Schepisi,Drama,22998000.0,The Russia House,R,1990-12-21,123,6.1,Sean Connery,12274,John le Carr�,1990,-0.42244682262568356,0.5913215818875673,0.8300285757832392,0.3868282811372879,0.4673559893733671,1,second
0.0,New Line Cinema,USA,James D. Parriott,Comedy,4134992.0,Heart Condition,R,1990-02-02,100,5.6,Bob Hoskins,2613,James D. Parriott,1990,-1.218399217754681,-0.2760832852765516,0.1460396233182793,0.32730055186036394,0.10741095401727671,3,fourth
0.0,Touchstone Pictures,France,Peter Weir,Comedy,29888235.0,Green Card,PG-13,1991-02-01,103,6.2,G�rard Depardieu,19613,Peter Weir,1990,-0.6824507057903524,0.07133374339440761,-0.09352741783491132,0.13299860178656275,0.4159973469576076,1,second
10000000.0,Universal Pictures,USA,Spike Lee,Drama,16153600.0,Mo' Better Blues,R,1990-08-03,129,6.6,Denzel Washington,8969,Spike Lee,1990,-0.10719380115139,1.02923156805033,0.9571697209205002,0.06032809410737533,0.2863078513126948,0,first
0.0,In-Gear Film,Hong Kong,Kar-Wai Wong,Crime,141864.0,Days of Being Wild,UNRATED,1990-12-15,100,7.6,Leslie Cheung,13450,Jeffrey Lau,1990,-0.6276865669088121,1.1230866595485367,-0.7614519120184523,-0.5945755463701051,0.02284438840994569,1,second
23000000.0,Metro-Goldwyn-Mayer (MGM),USA,Martin Ritt,Drama,5820015.0,Stanley & Iris,PG-13,1990-02-09,104,6.3,Jane Fonda,5877,Pat Barker,1990,-0.6086308880384058,0.05241826348346352,0.15733047179906068,-0.2785525200388281,-0.1696984398675875,1,second
22000000.0,Nova International Films,USA,David Green,Action,14760451.0,Fire Birds,PG-13,1990-05-25,85,4.7,Nicolas Cage,5036,Step Tyner,1990,-1.3727944496976725,-1.6105884835628093,0.03996305102224339,0.2835165392168109,-0.15020198591604939,3,fourth
7000000.0,Epic Productions,USA,Curtis Hanson,Drama,12626043.0,Bad Influence,R,1990-03-09,99,6.2,Rob Lowe,6062,David Koepp,1990,-0.8796224226496752,-0.016733500651924155,-0.13846825604812057,-0.06721642753746054,0.10773558588229348,1,second
0.0,Hollywood Pictures,USA,Arthur Hiller,Comedy,20005435.0,Taking Care of Business,R,1990-08-17,108,6.4,Jim Belushi,6535,Jill Mazursky,1990,-0.6718516324148512,0.40262612452957136,0.0865872540052168,0.03615671269371337,0.35368627106425377,1,second
0.0,British Screen Productions,UK,Mike Leigh,Comedy,1516414.0,Life Is Sweet,R,1991-12,103,7.5,Alison Steadman,6911,Mike Leigh,1990,-0.6135809851655412,1.1284926206170227,-0.5746244443249211,-0.5444192625171563,0.07810721209418163,1,second
0.0,British Broadcasting Corporation (BBC),UK,Anthony Minghella,Comedy,1554742.0,Truly Madly Deeply,PG,1991-05-24,106,7.3,Juliet Stevenson,6378,Anthony Minghella,1990,-0.6164463447791018,1.0730887589366624,-0.3580692283972274,-0.41371361473910423,0.09835266906807236,1,second
25000000.0,Recorded Picture Company (RPC),UK,Bernardo Bertolucci,Adventure,2075084.0,The Sheltering Sky,R,1990-12-12,138,6.8,Debra Winger,9389,Paul Bowles,1990,0.1923881231282744,1.3300054189184773,1.3834440630941298,-0.12943349688422,-0.05102603359697878,0,first
0.0,Kanoon,Iran,Abbas Kiarostami,Biography,2670.0,Close-Up,NOT RATED,1991-10-30,98,8.3,Mohsen Makhmalbaf,10254,Abbas Kiarostami,1990,-0.47599590587569635,1.5502888442481881,-1.1460365301532824,-0.9773029417527792,0.018009499225188397,1,second
40000000.0,Mirage Enterprises,USA,Sydney Pollack,Drama,9243140.0,Havana,R,1990-12-14,144,6.1,Robert Redford,6021,Judith Rascoe,1990,0.35060936496318307,0.8066762548877146,2.0489258795424288,0.049294440360965426,-0.11494475998354681,0,first
0.0,Incorporated Television Company (ITC),UK,Jim Abrahams,Comedy,3989297.0,"Welcome Home, Roxy Carmichael",PG-13,1990-10-12,95,5.9,Winona Ryder,4051,Karen Leigh Hopkins,1990,-1.2218584555738485,-0.2061748402908359,-0.20155241331235893,0.1286458588483455,0.07100347496312515,3,fourth
0.0,Lambart Productions,France,Patrice Leconte,Comedy,1155800.0,The Hairdresser's Husband,R,1990-10-03,82,7.4,Jean Rochefort,7465,Claude Klotz,1990,-1.0446147309955787,0.4849613338110344,-1.417822032488919,-0.7402720853263822,-0.05527411860538457,1,second
0.0,Carolco Pictures,USA,Bob Logan,Comedy,1382462.0,Repossessed,PG-13,1990-09-14,80,4.8,Leslie Nielsen,6879,Bob Logan,1990,-1.8411914796863096,-1.3596719803268036,-0.3511426249626788,0.5071198446677538,-0.06208188702039911,3,fourth
0.0,60/80 Productions,USA,Franco Amurri,Action,6488144.0,Flashback,R,1990-02-02,108,6.2,Dennis Hopper,4152,David Loughery,1990,-0.8630598851858614,0.3428732706897342,0.20924461442183842,0.13353034985363998,0.18226072766023363,1,second
0.0,Orion Pictures,USA,Roger Donaldson,Comedy,27627310.0,Cadillac Man,R,1990-05-18,97,5.6,Robin Williams,11388,Ken Friedman,1990,-1.0259008108355703,-0.49351746660872076,-0.053330897454982804,0.31645031782709415,0.373841832624876,3,fourth
0.0,Cannon Group,USA,Cedric Sundstrom,Action,358047.0,American Ninja 4: The Annihilation,R,1991-03-08,99,3.8,Michael Dudikoff,3660,Gideon Amir,1990,-1.7925018254337817,-1.5198297205800475,0.9045534668893385,1.2061030946295774,0.0489017133093743,3,fourth
9000000.0,ADC Films,Italy,Dario Argento,Horror,349618.0,Two Evil Eyes,R,1991-10-25,120,6.1,Adrienne Barbeau,4726,Dario Argento,1990,-0.5991278571556864,0.5400175494881988,0.8353454161090172,0.20509961129264412,0.04936973552883957,1,second
12000000.0,Orion Pictures,USA,Woody Allen,Comedy,7331647.0,Alice,PG-13,1991-01-10,106,6.6,Mia Farrow,11331,Woody Allen,1990,-0.5908953163004608,0.42637699601870466,0.011596206220247473,-0.220111896133756,-0.0033919061856106697,1,second
0.0,Universal Pictures,USA,William Friedkin,Drama,17037887.0,The Guardian,R,1990-04-27,92,5.3,Jenny Seagrove,4004,Dan Greenburg,1990,-1.3353029654254502,-0.7765022957851195,-0.08913803933542422,0.3759906088105206,0.22532338324761436,3,fourth
0.0,Carolco Pictures,USA,Peter Hyams,Action,10873237.0,Narrow Margin,R,1990-09-21,97,6.6,Gene Hackman,6377,Peter Hyams,1990,-0.9073903291835657,0.2906676491247682,-0.44731016761796843,-0.18482440965664015,0.16704171383530203,1,second
24000000.0,Malpaso Productions,USA,Clint Eastwood,Adventure,2319124.0,White Hunter Black Heart,PG,1990-09-14,112,6.7,Clint Eastwood,9279,Peter Viertel,1990,-0.34433931885230185,0.5566256256750453,0.322672493664596,-0.3740635323028218,-0.19110253854949105,1,second
0.0,Cannon Films,USA,Aaron Norris,Action,6698361.0,Delta Force 2: The Colombian Connection,R,1990-08-24,111,4.7,Chuck Norris,5538,James Bruner,1990,-1.2356178054083637,-0.6076159947742682,0.9949017548538774,0.9108916813343632,0.19951349721782055,3,fourth
225000.0,Westerly Films,USA,Whit Stillman,Comedy,2938208.0,Metropolitan,PG-13,1990-08-03,98,7.5,Carolyn Farina,7776,Whit Stillman,1990,-0.6896058046032336,0.9805120965993348,-0.7894576861346164,-0.6034621921089708,0.061044021748682564,1,second
700000.0,Channel Four Films,UK,Hal Hartley,Comedy,356122.0,Trust,R,1991-09-20,107,7.5,Adrienne Shelly,7712,Hal Hartley,1990,-0.5354065297595814,1.2373849492997306,-0.40068425239978417,-0.5020456177054528,0.07511804169131002,1,second
0.0,Hemdale,UK,Malcolm Mowbray,Comedy,1171762.0,The Boyfriend School,PG-13,1990-09-21,100,5.9,Steve Guttenberg,1943,Sarah Bird,1990,-1.1606587202542957,-0.05268238078906885,0.021280400011589505,0.17939370498885046,0.07017965556545641,3,fourth
0.0,Filmation Associates,USA,John Howley,Family,3299382.0,Happily Ever After,G,1993-05-28,75,5.1,Edward Asner,1876,Martha Moran,1990,-1.8519801013107704,-1.3019437842797659,-0.6844607555307911,0.2741053449820895,-0.05260237057182583,3,fourth
